asset,frames,channels,sample_rate,bits,peak,rms,sha256
machine-gun-1.wav,15360,1,48000,16,0.88000122,0.07692660,86e140a57385c0a7fe0887a6d3e81e934c3eaf1ea2358bccf1e7c157e4d3eb42
explosion-1.wav,81600,1,48000,16,0.88000122,0.14312482,127ff48fa5fe63ad28baa46c1afb178da9f62acbf3b026508aca6da3bbdfb716
metal-hit-1.wav,11040,1,48000,16,0.77999207,0.10587543,2967c4d9d0056879d372ffd938df73cd1e52e4b8eb54268009eef72b98c81a2e
homing-launch-1.wav,26400,1,48000,16,0.88000122,0.10950241,41499ac61971dc41ed2f18a420606e3b4e653327c88893e5b17e3358568e04c5
power-launch-1.wav,40800,1,48000,16,0.88000122,0.16275426,ce81b9f7334f7825881747284406daed933c9af640b84bc3cfeb8ccdd14c8985
power-explosion-1.wav,108000,1,48000,16,0.88000122,0.14168413,6c1f14266d2b57b034dbb0e2a55f1c51fb512e5430dace6aed5e9410bc1dc30f
mine-detonate-1.wav,110399,1,48000,16,0.88000122,0.14462457,1d8055bd2ea1178a66ddf822dad76ae0e2d84cbd876d414793038eb909770aad
destroyed-1.wav,134400,1,48000,16,0.88000122,0.14011685,3b0c73ae3a9e0fb7bd29eae2c8f738a52c99c6f64a61aff7fc1279b529d5ce10
napalm-launch-1.wav,33600,1,48000,16,0.88000122,0.12113919,b15617f08790291ec373d94c87f201e6185f641a9a0d30b3974a6fb8f2ace089
napalm-explosion-1.wav,86400,1,48000,16,0.88000122,0.10916879,67667e2bf47696c8c8374dbcc4aa9e29c8414000ac2faeff5dd2ee8bd42b7251
machine-gun-2.wav,15360,1,48000,16,0.88000122,0.08771689,d60670106dbcacdc0feda10ac89f8b664ff135abf80e1994a5618d9148cddd1f
explosion-2.wav,81600,1,48000,16,0.88000122,0.14470208,a81b9afbd20d38e011cbc1dddb50ba3bb06edd4f9e667b59709fc1a8d567201b
metal-hit-2.wav,11040,1,48000,16,0.77999207,0.04490085,2f0cc33cbad6af54c4f664ee6fa5b591ca543cb62cc661097d9398a1927a94c9
homing-launch-2.wav,26400,1,48000,16,0.88000122,0.12090063,312659eecc7440870850b61766936c8b15535759a6051c22165d101f0c8ecdd9
power-launch-2.wav,40800,1,48000,16,0.88000122,0.16618899,b2a8224f73ae5622d0bdec4caf207bb3d388fcb16e4bf9904cf099dbb81f817b
power-explosion-2.wav,108000,1,48000,16,0.88000122,0.14547942,96980d4f94519a1f1bb121dbe77e3d4a0dbb83984362da21e189d59349e0c89d
mine-detonate-2.wav,110399,1,48000,16,0.88000122,0.13499339,303e50aba93e317d582d84b569cc0adf33075e29fc7577d51241e526691dc88d
destroyed-2.wav,134400,1,48000,16,0.88000122,0.13790563,24bd9e3316db6da30e2b21749aa818c49b06c7d99b5ce7ee142115912df5ef77
napalm-launch-2.wav,33600,1,48000,16,0.88000122,0.14151152,4b43908eee9d1eaf44efdd5fc9fe12a8cadf99377967afcea1e1ec8249209c28
napalm-explosion-2.wav,86400,1,48000,16,0.88000122,0.14698892,00c966bcfb6b7455262c39c687feba39b4c6be5d7bfacb065976920bc5660b53
machine-gun-3.wav,15360,1,48000,16,0.88000122,0.08284252,f32fd58797cab1133e128e9a73b80df3663a2d3c4c3f8396217b60543b795144
explosion-3.wav,81600,1,48000,16,0.88000122,0.10577209,a331fef6e5f3bad654d4e0dc465360ec44da7c4468f262e98521154f30d1238a
metal-hit-3.wav,11040,1,48000,16,0.77999207,0.07985291,a7bcd84a9e0f14ad5ca54414e6d7ca4b5ea022ea615d7614d669c702a5ced5fb
homing-launch-3.wav,26400,1,48000,16,0.88000122,0.07513819,5db8df765c49111f6ae45f81442c407935ebcba1d5b1288efdfa8f870b9ea472
power-launch-3.wav,40800,1,48000,16,0.88000122,0.12254650,4cc488d082a5c58a83634532f060b6ffb0297300909c7c3524dae8a2dac1bb32
power-explosion-3.wav,108000,1,48000,16,0.88000122,0.10224498,8b3cee329dcb0274a9a96330cb60f466b31bf1f0b67ad787f8422d4a2c31b5b8
mine-detonate-3.wav,110399,1,48000,16,0.88000122,0.11604157,b8821e76858c2dd2104753f79e352a85e8d2bf80d1bc785bab21c89e810726be
destroyed-3.wav,134400,1,48000,16,0.88000122,0.10272491,432e30e599543bb5640cc9f1a750721c939b7f4491f3850b7bbb187d830f645a
napalm-launch-3.wav,33600,1,48000,16,0.88000122,0.11252314,e3bb71dd0811f8c59c401e9ddf09d51f124af4cd3e656b2c305616a22278cb0d
napalm-explosion-3.wav,86400,1,48000,16,0.88000122,0.11092780,974625e50f8b4543891ec91ff51d113f07f6c688b0ecb3d515f424a6c17c8dac
napalm-fire.wav,96000,1,48000,16,0.68999298,0.05564120,b0ebb8093c273d2f80099a3c47fdbfc592d8842224c3d92f7dd997d33acfc65f
freeze-launch.wav,20160,1,48000,16,0.88000122,0.04784742,9ac72001a21c28691550b924137074f74e83c83dd6a0552916ad53471b6fa9ab
freeze-hit.wav,24960,1,48000,16,0.88000122,0.05379294,ed14ef73b2153954cd0b0f22d1c93b1776861f2059c099fdccb354c646805a5d
freeze-end.wav,31200,1,48000,16,0.77999207,0.04282588,43f817b653cae098274d9ecf2df98bb920fc9904f422c7b6586372a067558cf4
shield-on.wav,36000,1,48000,16,0.82000183,0.16947333,a5cde5ec9c07488d65d6f5af3fb3b6b7c8d3ef6aec6ca0873627270fea54b06f
shield-hit.wav,23040,1,48000,16,0.82000183,0.13348923,a1dc2b56626efc4014af821a3bb23a477f2be8edbb3d19c40a0cb27ee5399155
shield-end.wav,31200,1,48000,16,0.76000244,0.07557134,4f20c6545e1244fdf6dd26ced1a84bde3a7b559a4b5784c8771bcfa29f75d40b
