asset,frames,channels,sample_rate,bits,peak,rms,sha256
construction_17-normal.wav,4388571,2,48000,16,0.829987,0.317409,e6fb6c8c23ea3c4ab85be6871238739f242050541ac73c8431540dae95d53e89
construction_17-boss.wav,4388571,2,48000,16,0.829987,0.321315,74b16e85610b7699e4ae03fcfac5f273e1fe550d00bda28c5a1dcb4bc895e78e
neon_zero-normal.wav,4006957,2,48000,16,0.829987,0.314065,f237c0dc10ee3fb60e2acfc0f95f20d523256d2157af582e1dbac493ed71b9f4
neon_zero-boss.wav,4006957,2,48000,16,0.829987,0.326868,56fb1a804a8a4cbf472b1e1bdb0bf3546c9f5397ebcfb3bddf3e245f540295a7
euphoria_park-normal.wav,3840000,2,48000,16,0.829987,0.313884,725562d421f79147d3bbcc7bd670f3dac7468267e3b49d3720ff6d563ae733ac
euphoria_park-boss.wav,3840000,2,48000,16,0.829987,0.323181,36942d579b070ee45b428d5a568f8180640ebe8dc305be91493580c9f05ffd06
ash_necropolis-normal.wav,5120000,2,48000,16,0.829987,0.309781,b72bb2119930149e0899d568f70bebff31ad5375f13aea44755e8bd2322ce239
ash_necropolis-boss.wav,5120000,2,48000,16,0.829987,0.309112,5bd55dce98879dbe5aadb5b8000c7e547d65be439198f34007a6ba78dbf34b8b
doomsday_arena-normal.wav,4189091,2,48000,16,0.829987,0.327290,354924192302c865da293a47a6275c27451e63d9efe9b450a3af84438fc3603e
doomsday_arena-boss.wav,4189091,2,48000,16,0.829987,0.329631,89bce36d20bf4a98ecb52eb87ca26897e7fe02c2051cf10628aab81177a44c6a
